strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
Wuhan-Hu-1/2019,2019-12-26,,19A,,,China,Asia,China,MN908947,Homo sapiens,B,,201952,,Older,Wu et al,,,,
Wuhan/WH01/2019,2019-12-26,,19A,,-0.01,China,Asia,Hubei,LR757998,Homo sapiens,B,,201952,,Older,Hunter et al,,Beijing Genome Institute,"BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China",
SWE/01/2020,2020-02-07,,19A,,-0.11,Sweden,Europe,Sweden,MT093571,Homo sapiens,B,,202006,,Older,Bengner et al,,,,
LBY/BTRCLibyaSARS-CoV-2WGS-21/2021,2021-02-25,,19A,,0.1,Libya,Africa,Libya,MZ054877,Homo sapiens,A.27,3,202108,,Older,Alhudiri et al,,,,
FIN/1/2020,2020-01-29,,19A,,0.01,Finland,Europe,Finland,MZ683495,Homo sapiens,B,1,202005,,Older,Jiang et al,,,,
AUS/VIC14/2020,2020-02-02,,19A,,,Australia,Oceania,Victoria,MT450931,Homo sapiens,B,,202006,,Older,Seemann et al A,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
TWN/CGMH-CGU-01/2020,2020-01-25,,19A,,,Taiwan,Asia,Taiwan,MT192759,Homo sapiens,B,,202004,,Older,Tsao et al A,,,,
USA/NY1-PV08001/2020,2020-02-29,,19A,,-0.11,USA,North America,New York,MT370904,Homo sapiens,B.4,,202009,,Older,Gonzalez-Reiche et al,,,,
AUS/VIC1604/2020,2020-05-10,,19A,,-0.07,Australia,Oceania,Victoria,MT612206,Homo sapiens,B.4.5,,202020,,Older,Caly et al A,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
Japan/DP0289/2020,2020-02-16,,19A,,0,Japan,Asia,Japan,LC570988,Homo sapiens,B,,202008,,Older,Sekizuka et al,,,,
GMB/GC19-026/2020,2020-03-21,,19A,,-0.06,Gambia,Africa,Gambia,MZ040129,Homo sapiens,B.6,,202012,,Older,Kanteh et al A,,,,
PHL/GS/2020,2020-04-03,,19A,,-0.06,Philippines,Asia,Manila,MT919768,Homo sapiens,B.6,,202014,,Older,Velasco et al A,,,,
ITA/INMI1-B1/2020,2020-02-12,,19A,,-0.1,Italy,Europe,Lazio,MT509660,Homo sapiens,B,,202007,,Older,Gruber et al,,,,
Iceland/13/2020,2020-02-27,,19A,,-0.07,Iceland,Europe,Iceland,OU161584,Homo sapiens,B,1,202009,,Older,Jonsson et al A,,DECODE GENETICS,The National University Hospital of Iceland,
KOR/BA-ACH_2719/2020,2020-02-29,,19A,,-0.05,South Korea,Asia,South Korea,MT304476,Homo sapiens,B.41,,202009,,Older,Queen et al A,,,,
GRC/260_32216/2020,2020-03-10,,19A,,-0.14,Greece,Europe,Athens,MT459918,Homo sapiens,B.40,,202011,,Older,Kassela et al A,,,,
NZL/20VR1785/2020,2020-03-26,,19A,,-0.06,New Zealand,Oceania,Southland,OK426729,Homo sapiens,B.31,,202013,,Older,Ren et al A,,Institute of Environmental Science and Research,Southern Community Labs Dunedin,
JOR/SEARCH-0051-JOR/2020,2020-04-04,,19A,,-0.1,Jordan,Asia,Amman,MT811559,Homo sapiens,B.28,,202014,,Older,Abu-Dayyeh et al,,The Scripps Research Institute,Biolab Diagnostic Laboratories,
