strain,date,DaysSinceRoot,Mutations
ARG/210524-2/2021,5/17/21,508,40
ARG/210613-39/2021,6/7/21,529,38
ARG/210711-54/2021,7/5/21,557,38
ARG/Cordoba-11300-61/2020,6/4/20,161,13
ARG/Cordoba-189-251/2020,5/16/20,142,14
ARG/Cordoba-83535/2020,9/13/20,262,17
Argentina/UW21112608981/2021,11/26/21,701,39
Argentina/UW21123155276/2021,12/31/21,736,56
Argentina/UW22010390225/2022,1/3/22,739,56
ARM/IMB1-2/2021,1/19/21,390,24
ARM/UW-ARM24/2020,8/18/20,236,17
AUS/A12-WW-209C/2021,11/25/21,700,53
AUS/NT41/2020,5/1/20,127,10
AUS/NT52/2020,7/8/20,195,13
AUS/QIMR01/2022,1/7/22,743,58
AUS/QLD02/2020,7/20/20,207,5
AUS/QLD935/2020,3/25/20,90,7
AUS/SA01/2020,1/30/20,35,4
AUS/TAS15/2020,4/10/20,106,11
AUS/TAS158/2020,5/3/20,129,13
AUS/TAS260/2020,5/8/20,134,12
AUS/TAS278/2020,7/19/20,206,15
AUS/VIC07/2020,2/8/20,44,4
AUS/VIC10509/2020,9/7/20,256,16
AUS/VIC10681/2020,9/5/20,254,16
AUS/VIC1316/2020,4/11/20,107,9
AUS/VIC1385/2020,4/14/20,110,11
AUS/VIC14/2020,2/2/20,38,1
AUS/VIC1604/2020,5/10/20,136,8
AUS/VIC8997/2020,7/27/20,214,14
AUS/VIC9257/2020,8/21/20,239,16
AUT/SKV-104/2021,3/25/21,455,32
AUT/SKV-155/2021,4/24/21,485,45
AUT/SKV-181/2021,5/12/21,503,40
AUT/SKV-207/2021,7/1/21,553,38
AUT/SKV-228/2021,8/6/21,589,35
AUT/SKV-276/2021,11/10/21,685,46
AUT/SKV-304/2022,1/4/22,740,57
AUT/SKV-316/2022,1/19/22,755,75
AUT/SKV-317/2022,1/27/22,763,41
Belgium/42477217/2020,10/9/20,288,20
Belgium/UW21110740075/2021,11/7/21,682,41
Belize/UN-CDC-3595766-001/2020,3/1/20,66,9
BEN/1408/2020,4/4/20,100,8
BEN/843/2020,3/19/20,84,4
BGD/BCSIR_NILMRC_005/2020,5/23/20,149,9
BGD/BCSIR_NILMRC_296/2020,7/18/20,205,14
BGD/BSMMU-3/2020,11/10/20,320,18
BGD/BSMMU-7/2020,11/10/20,320,14
BGD/DHA-BSMMU-VIRO-21/2022,1/20/22,756,57
BGD/DHA-BSMMU-VIRO-22/2022,1/20/22,756,59
BGD/DNAS_DRICM_isl_R-3/2020,7/17/20,204,16
BGD/icddrb-CMOSH-CU-2553173/2021,6/28/21,550,37
BGD/Laila_1015/2022,1/19/22,755,78
BGD/Laila_1019/2022,1/19/22,755,58
BGD/Laila_1020/2022,1/19/22,755,59
BGD/Laila_1027/2022,1/19/22,755,79
BGD/Laila_1046/2022,2/1/22,768,77
BGD/Laila_1056/2022,2/1/22,768,76
BGD/Laila_596/2021,9/30/21,644,39
BGD/Laila_932/2022,1/18/22,754,77
BGD/Laila_958/2022,1/27/22,763,78
BGD/Laila_988/2022,2/3/22,770,62
BGD/Laila_990/2022,2/3/22,770,80
BGD/Laila_991/2022,2/3/22,770,80
BGD/Laila_997/2022,2/6/22,773,75
BGD/NGRI-R2-24/2020,9/10/20,259,13
BHR/000307432/2022,3/9/22,804,77
BHR/090000572_S16_L001/2020,5/31/20,157,13
BHR/21921833915_S23_L001/2021,11/6/21,681,37
BHR/22020049065/2022,1/24/22,760,55
BHR/22020049748/2022,1/24/22,760,78
BHR/22020049812/2022,1/24/22,760,77
BHR/22020050353/2022,1/24/22,760,76
BHR/22020087885_S58_L001/2022,2/18/22,785,78
BHR/22020088127_S61_L001/2022,2/18/22,785,81
BHR/22020109144/2022,2/19/22,786,80
BHR/22020113799/2022,2/22/22,789,75
BHR/22020120587/2022,2/24/22,791,77
BHR/22020128970/2022,3/1/22,796,85
BHR/22020163914/2022,3/18/22,813,76
BHR/22020170165/2022,3/21/22,816,79
BHR/22020173297/2022,3/23/22,818,75
BHR/22020261219_S36_L001/2022,5/9/22,865,78
BHR/22020369558/2022,6/29/22,916,85
BHR/22020374721/2022,7/2/22,919,87
BHR/22020374732/2022,7/2/22,919,87
BHR/22020374845/2022,7/2/22,919,83
BHR/22020374932/2022,7/2/22,919,87
BHR/22020374937/2022,7/2/22,919,85
BHR/22020374947/2022,7/2/22,919,84
BHR/22020375180/2022,7/2/22,919,86
BHR/22020375643/2022,7/3/22,920,84
BHR/22020375778/2022,7/3/22,920,87
BHR/22020375842/2022,7/2/22,919,86
BHR/22020375912/2022,7/3/22,920,88
BHR/22020377574/2022,7/3/22,920,87
BHR/22120142595/2022,2/13/22,780,76
BHR/22120189910/2022,4/18/22,844,81
BHR/22120196417_S45_L001/2022,5/14/22,870,83
BHR/22120198648/2022,6/12/22,899,82
